"year","gender","place","disease","age","perten"
1981,"女","台閩地區","口腔、口咽及下咽",57.02,1.02
1981,"女","台北市","口腔、口咽及下咽",56.56,2.27
1981,"女","台中市","口腔、口咽及下咽",51.4,0.63
1981,"女","台南市","口腔、口咽及下咽",54,0.67
1981,"女","高雄市","口腔、口咽及下咽",53.5,0.37
1981,"女","基隆市","口腔、口咽及下咽",44,0.61
1981,"女","嘉義市","口腔、口咽及下咽",52,0.82
1981,"女","新北市","口腔、口咽及下咽",56.22,0.79
1981,"女","桃園市","口腔、口咽及下咽",65,0.39
1981,"女","新竹縣","口腔、口咽及下咽",61,0.58
1981,"女","苗栗縣","口腔、口咽及下咽",57,0.38
1981,"女","彰化縣","口腔、口咽及下咽",63.6,1.75
1981,"女","南投縣","口腔、口咽及下咽",52,0.79
1981,"女","雲林縣","口腔、口咽及下咽",54.57,1.83
1981,"女","嘉義縣","口腔、口咽及下咽",61,0.73
1981,"女","屏東縣","口腔、口咽及下咽",68.67,0.71
1981,"女","澎湖縣","口腔、口咽及下咽",28,1.99
1981,"女","花蓮縣","口腔、口咽及下咽",47.33,1.85
1981,"女","台東縣","口腔、口咽及下咽",53,0.79
1982,"不分男女","台閩地區","口腔、口咽及下咽",55.47,2.4
1982,"不分男女","台北市","口腔、口咽及下咽",61.38,0.9
1982,"不分男女","台中市","口腔、口咽及下咽",51.32,2.19
1982,"不分男女","台南市","口腔、口咽及下咽",54.76,1.83
1982,"不分男女","高雄市","口腔、口咽及下咽",48.03,1.31
1982,"不分男女","基隆市","口腔、口咽及下咽",72,0.29
1982,"不分男女","新竹市","口腔、口咽及下咽",52,0.35
1982,"不分男女","新北市","口腔、口咽及下咽",54.58,2.13
1982,"不分男女","桃園市","口腔、口咽及下咽",59.88,0.71
1982,"不分男女","新竹縣","口腔、口咽及下咽",52.33,2.47
1982,"不分男女","宜蘭縣","口腔、口咽及下咽",57.81,3.58
1982,"不分男女","苗栗縣","口腔、口咽及下咽",67.75,1.46
1982,"不分男女","彰化縣","口腔、口咽及下咽",52.81,4.36
1982,"不分男女","南投縣","口腔、口咽及下咽",59,3.21
1982,"不分男女","雲林縣","口腔、口咽及下咽",54.61,3.51
1982,"不分男女","嘉義縣","口腔、口咽及下咽",58.75,3.48
1982,"不分男女","屏東縣","口腔、口咽及下咽",57.93,1.56
1982,"不分男女","花蓮縣","口腔、口咽及下咽",54.25,3.33
1982,"不分男女","台東縣","口腔、口咽及下咽",63.63,2.84
1982,"不分男女","金門縣","口腔、口咽及下咽",69,1.99
1982,"男","台閩地區","口腔、口咽及下咽",55.5,3.75
1982,"男","台北市","口腔、口咽及下咽",61.45,1.67
1982,"男","台中市","口腔、口咽及下咽",54.38,3.67
1982,"男","台南市","口腔、口咽及下咽",55.15,2.42
1982,"男","高雄市","口腔、口咽及下咽",48.04,2.36
1982,"男","基隆市","口腔、口咽及下咽",72,0.54
1982,"男","新竹市","口腔、口咽及下咽",52,0.66
1982,"男","新北市","口腔、口咽及下咽",55.62,2.93
1982,"男","桃園市","口腔、口咽及下咽",62.17,1.01
1982,"男","新竹縣","口腔、口咽及下咽",54.43,3.63
1982,"男","宜蘭縣","口腔、口咽及下咽",57.57,5.99
1982,"男","苗栗縣","口腔、口咽及下咽",67.5,1.4
1982,"男","彰化縣","口腔、口咽及下咽",51.56,7.3
1982,"男","南投縣","口腔、口咽及下咽",57.67,5.41
1982,"男","雲林縣","口腔、口咽及下咽",55.04,6.27
1982,"男","嘉義縣","口腔、口咽及下咽",58,5.32
1982,"男","屏東縣","口腔、口咽及下咽",54.7,2.12
1982,"男","花蓮縣","口腔、口咽及下咽",54.2,5.1
1982,"男","台東縣","口腔、口咽及下咽",63.4,3.23
1982,"女","台閩地區","口腔、口咽及下咽",55.31,0.95
1982,"女","台北市","口腔、口咽及下咽",60,0.09
1982,"女","台中市","口腔、口咽及下咽",31.8,0.61
1982,"女","台南市","口腔、口咽及下咽",53.89,1.18
1982,"女","高雄市","口腔、口咽及下咽",48,0.18
1982,"女","新北市","口腔、口咽及下咽",52,1.27
1982,"女","桃園市","口腔、口咽及下咽",53,0.37
1982,"女","新竹縣","口腔、口咽及下咽",45,1.16
1982,"女","宜蘭縣","口腔、口咽及下咽",59.5,0.94
1982,"女","苗栗縣","口腔、口咽及下咽",68,1.53
1982,"女","彰化縣","口腔、口咽及下咽",60.86,1.21
1982,"女","南投縣","口腔、口咽及下咽",69,0.79
1982,"女","雲林縣","口腔、口咽及下咽",49,0.52
1982,"女","嘉義縣","口腔、口咽及下咽",61.75,1.46
1982,"女","屏東縣","口腔、口咽及下咽",66,0.94
1982,"女","花蓮縣","口腔、口咽及下咽",54.5,1.22
1982,"女","台東縣","口腔、口咽及下咽",64,2.38
1982,"女","金門縣","口腔、口咽及下咽",69,4.1
1983,"不分男女","台閩地區","口腔、口咽及下咽",55.78,2.94
1983,"不分男女","台北市","口腔、口咽及下咽",53.96,2.81
1983,"不分男女","台中市","口腔、口咽及下咽",55.07,3.12
1983,"不分男女","台南市","口腔、口咽及下咽",54.26,2.18
1983,"不分男女","高雄市","口腔、口咽及下咽",50.85,1.72
1983,"不分男女","基隆市","口腔、口咽及下咽",56.18,3.13
1983,"不分男女","新竹市","口腔、口咽及下咽",58,1.37
1983,"不分男女","嘉義市","口腔、口咽及下咽",54.57,5.54
1983,"不分男女","新北市","口腔、口咽及下咽",55.27,2.66
1983,"不分男女","桃園市","口腔、口咽及下咽",59.46,2.07
1983,"不分男女","新竹縣","口腔、口咽及下咽",63,1.09
1983,"不分男女","宜蘭縣","口腔、口咽及下咽",53,0.89
1983,"不分男女","苗栗縣","口腔、口咽及下咽",57.44,1.64
1983,"不分男女","彰化縣","口腔、口咽及下咽",55.52,4.49
1983,"不分男女","南投縣","口腔、口咽及下咽",58.89,3.57
1983,"不分男女","雲林縣","口腔、口咽及下咽",59.76,4.77
1983,"不分男女","嘉義縣","口腔、口咽及下咽",44.42,2.09
1983,"不分男女","屏東縣","口腔、口咽及下咽",58.86,2.44
1983,"不分男女","花蓮縣","口腔、口咽及下咽",61.25,4.43
1983,"不分男女","台東縣","口腔、口咽及下咽",61.69,4.65
1983,"男","台閩地區","口腔、口咽及下咽",55.97,4.64
1983,"男","台北市","口腔、口咽及下咽",54.47,4.16
1983,"男","台中市","口腔、口咽及下咽",55.02,5.5
1983,"男","台南市","口腔、口咽及下咽",54.58,3.11
1983,"男","高雄市","口腔、口咽及下咽",50.26,2.91
1983,"男","基隆市","口腔、口咽及下咽",57.89,4.88
1983,"男","新竹市","口腔、口咽及下咽",54,1.97
1983,"男","嘉義市","口腔、口咽及下咽",53.69,9.98
1983,"男","新北市","口腔、口咽及下咽",57.09,4.09
1983,"男","桃園市","口腔、口咽及下咽",58.1,3.44
1983,"男","新竹縣","口腔、口咽及下咽",69,1.03
1983,"男","宜蘭縣","口腔、口咽及下咽",52,1.28
1983,"男","苗栗縣","口腔、口咽及下咽",57.44,3.14
1983,"男","彰化縣","口腔、口咽及下咽",55.69,7.89
1983,"男","南投縣","口腔、口咽及下咽",57.94,5.75
1983,"男","雲林縣","口腔、口咽及下咽",59.67,7.96
1983,"男","嘉義縣","口腔、口咽及下咽",42,2.99
1983,"男","屏東縣","口腔、口咽及下咽",57.81,3.37
1983,"男","花蓮縣","口腔、口咽及下咽",59.33,6.1
1983,"男","台東縣","口腔、口咽及下咽",62.64,7.13
1983,"女","台閩地區","口腔、口咽及下咽",54.93,1.1
1983,"女","台北市","口腔、口咽及下咽",52.31,1.38
1983,"女","台中市","口腔、口咽及下咽",55.6,0.6
1983,"女","台南市","口腔、口咽及下咽",53.33,1.17
1983,"女","高雄市","口腔、口咽及下咽",55,0.45
1983,"女","基隆市","口腔、口咽及下咽",48.5,1.19
1983,"女","新竹市","口腔、口咽及下咽",70,0.71
1983,"女","嘉義市","口腔、口咽及下咽",66,0.82
1983,"女","新北市","口腔、口咽及下咽",48.36,1.15
1983,"女","桃園市","口腔、口咽及下咽",69,0.55
1983,"女","新竹縣","口腔、口咽及下咽",57,1.16
1983,"女","宜蘭縣","口腔、口咽及下咽",56,0.47
1983,"女","彰化縣","口腔、口咽及下咽",53.8,0.86
1983,"女","南投縣","口腔、口咽及下咽",64,1.18
1983,"女","雲林縣","口腔、口咽及下咽",60.4,1.31
1983,"女","嘉義縣","口腔、口咽及下咽",51.67,1.1
1983,"女","屏東縣","口腔、口咽及下咽",61.67,1.41
1983,"女","花蓮縣","口腔、口咽及下咽",67,2.44
1983,"女","台東縣","口腔、口咽及下咽",56.5,1.59
1984,"不分男女","台閩地區","口腔、口咽及下咽",53.92,3.25
1984,"不分男女","台北市","口腔、口咽及下咽",52.73,3.22
1984,"不分男女","台中市","口腔、口咽及下咽",54.41,4
1984,"不分男女","台南市","口腔、口咽及下咽",53.96,1.66
1984,"不分男女","高雄市","口腔、口咽及下咽",50.02,2.76
1984,"不分男女","基隆市","口腔、口咽及下咽",53,1.98
1984,"不分男女","新竹市","口腔、口咽及下咽",53,4.71
1984,"不分男女","嘉義市","口腔、口咽及下咽",53.77,5.14
1984,"不分男女","新北市","口腔、口咽及下咽",55.15,2.51
1984,"不分男女","桃園市","口腔、口咽及下咽",55.17,2.44
1984,"不分男女","新竹縣","口腔、口咽及下咽",55.25,1.09
1984,"不分男女","宜蘭縣","口腔、口咽及下咽",65.75,0.89
1984,"不分男女","苗栗縣","口腔、口咽及下咽",59.5,2.18
1984,"不分男女","彰化縣","口腔、口咽及下咽",52.85,4.52
1984,"不分男女","南投縣","口腔、口咽及下咽",55.81,3.93
1984,"不分男女","雲林縣","口腔、口咽及下咽",55.48,5.03
1984,"不分男女","嘉義縣","口腔、口咽及下咽",55.33,4.19
1984,"不分男女","屏東縣","口腔、口咽及下咽",53.06,1.88
1984,"不分男女","花蓮縣","口腔、口咽及下咽",57.47,4.7
1984,"不分男女","台東縣","口腔、口咽及下咽",47.79,5.05
1984,"男","台閩地區","口腔、口咽及下咽",54.1,5.46
1984,"男","台北市","口腔、口咽及下咽",52.9,5.34
1984,"男","台中市","口腔、口咽及下咽",54.23,6.79
1984,"男","台南市","口腔、口咽及下咽",52.09,2.6
1984,"男","高雄市","口腔、口咽及下咽",50.93,4.76
1984,"男","基隆市","口腔、口咽及下咽",55.5,3.25
1984,"男","新竹市","口腔、口咽及下咽",55.46,8.4
1984,"男","嘉義市","口腔、口咽及下咽",54.09,8.46
1984,"男","新北市","口腔、口咽及下咽",55.38,4.13
1984,"男","桃園市","口腔、口咽及下咽",57.54,3.84
1984,"男","新竹縣","口腔、口咽及下咽",55.25,2.07
1984,"男","宜蘭縣","口腔、口咽及下咽",65.67,1.28
1984,"男","苗栗縣","口腔、口咽及下咽",62.3,3.48
1984,"男","彰化縣","口腔、口咽及下咽",53.08,8.13
1984,"男","南投縣","口腔、口咽及下咽",55.81,7.52
1984,"男","雲林縣","口腔、口咽及下咽",55.53,9.18
1984,"男","嘉義縣","口腔、口咽及下咽",54.62,6.99
1984,"男","屏東縣","口腔、口咽及下咽",53.13,3.37
1984,"男","花蓮縣","口腔、口咽及下咽",56.31,8.13
1984,"男","台東縣","口腔、口咽及下咽",46.08,7.84
1984,"女","台閩地區","口腔、口咽及下咽",52.7,0.86
1984,"女","台北市","口腔、口咽及下咽",51.83,1
1984,"女","台中市","口腔、口咽及下咽",55.67,1.04
1984,"女","台南市","口腔、口咽及下咽",62.2,0.64
1984,"女","高雄市","口腔、口咽及下咽",42.43,0.62
1984,"女","基隆市","口腔、口咽及下咽",38,0.59
1984,"女","新竹市","口腔、口咽及下咽",21,0.7
1984,"女","嘉義市","口腔、口咽及下咽",52,1.63
1984,"女","新北市","口腔、口咽及下咽",53.9,0.8
1984,"女","桃園市","口腔、口咽及下咽",43.8,0.89
1984,"女","宜蘭縣","口腔、口咽及下咽",66,0.46
1984,"女","苗栗縣","口腔、口咽及下咽",45.5,0.76
1984,"女","彰化縣","口腔、口咽及下咽",50,0.68
1984,"女","雲林縣","口腔、口咽及下咽",54.5,0.52
1984,"女","嘉義縣","口腔、口咽及下咽",60.33,1.1
1984,"女","屏東縣","口腔、口咽及下咽",52,0.23
1984,"女","花蓮縣","口腔、口咽及下咽",76,0.61
1984,"女","台東縣","口腔、口咽及下咽",58,1.61
1985,"不分男女","台閩地區","口腔、口咽及下咽",55.11,3.56
1985,"不分男女","台北市","口腔、口咽及下咽",53.67,2.39
1985,"不分男女","台中市","口腔、口咽及下咽",54.99,3.74
1985,"不分男女","台南市","口腔、口咽及下咽",55.98,2.5
1985,"不分男女","高雄市","口腔、口咽及下咽",52.36,3.53
1985,"不分男女","基隆市","口腔、口咽及下咽",59.14,1.99
1985,"不分男女","新竹市","口腔、口咽及下咽",65,1.32
1985,"不分男女","嘉義市","口腔、口咽及下咽",56.44,6.31
1985,"不分男女","新北市","口腔、口咽及下咽",55.34,2.67
1985,"不分男女","桃園市","口腔、口咽及下咽",55.62,2.39
1985,"不分男女","新竹縣","口腔、口咽及下咽",59.67,0.82
1985,"不分男女","宜蘭縣","口腔、口咽及下咽",61.44,2
1985,"不分男女","苗栗縣","口腔、口咽及下咽",55,2.54
1985,"不分男女","彰化縣","口腔、口咽及下咽",53.72,6.13
1985,"不分男女","南投縣","口腔、口咽及下咽",52.65,4.29
1985,"不分男女","雲林縣","口腔、口咽及下咽",58.17,5.94
1985,"不分男女","嘉義縣","口腔、口咽及下咽",57,2.98
1985,"不分男女","屏東縣","口腔、口咽及下咽",53.35,3.44
1985,"不分男女","澎湖縣","口腔、口咽及下咽",62,0.98
1985,"不分男女","花蓮縣","口腔、口咽及下咽",56.43,3.87
1985,"不分男女","台東縣","口腔、口咽及下咽",57.2,5.43
1985,"不分男女","金門縣","口腔、口咽及下咽",55.67,6.14
1985,"男","台閩地區","口腔、口咽及下咽",54.74,5.73
1985,"男","台北市","口腔、口咽及下咽",53.13,3.59
1985,"男","台中市","口腔、口咽及下咽",55.43,6.75
1985,"男","台南市","口腔、口咽及下咽",54.47,3.75
1985,"男","高雄市","口腔、口咽及下咽",50.94,5.35
1985,"男","基隆市","口腔、口咽及下咽",59.14,3.82
1985,"男","新竹市","口腔、口咽及下咽",65,2.51
1985,"男","嘉義市","口腔、口咽及下咽",56.44,12.31
1985,"男","新北市","口腔、口咽及下咽",56.08,4.38
1985,"男","桃園市","口腔、口咽及下咽",56.64,3.46
1985,"男","新竹縣","口腔、口咽及下咽",59.67,1.55
1985,"男","宜蘭縣","口腔、口咽及下咽",62.5,2.56
1985,"男","苗栗縣","口腔、口咽及下咽",55.85,4.53
1985,"男","彰化縣","口腔、口咽及下咽",53.28,10.77
1985,"男","南投縣","口腔、口咽及下咽",52.29,7.51
1985,"男","雲林縣","口腔、口咽及下咽",55.13,9.71
1985,"男","嘉義縣","口腔、口咽及下咽",57.08,4.02
1985,"男","屏東縣","口腔、口咽及下咽",55.35,5.48
1985,"男","澎湖縣","口腔、口咽及下咽",62,1.86
1985,"男","花蓮縣","口腔、口咽及下咽",55.77,6.61
1985,"男","台東縣","口腔、口咽及下咽",57.1,6.53
1985,"男","金門縣","口腔、口咽及下咽",55.67,11.88
1985,"女","台閩地區","口腔、口咽及下咽",56.95,1.22
1985,"女","台北市","口腔、口咽及下咽",55.43,1.14
1985,"女","台中市","口腔、口咽及下咽",49.4,0.57
1985,"女","台南市","口腔、口咽及下咽",61.33,1.14
1985,"女","高雄市","口腔、口咽及下咽",57.5,1.57
1985,"女","新北市","口腔、口咽及下咽",51.27,0.85
1985,"女","桃園市","口腔、口咽及下咽",52.43,1.22
1985,"女","宜蘭縣","口腔、口咽及下咽",59.33,1.39
1985,"女","苗栗縣","口腔、口咽及下咽",44,0.38
1985,"女","彰化縣","口腔、口咽及下咽",58,1.18
1985,"女","南投縣","口腔、口咽及下咽",56.5,0.78
1985,"女","雲林縣","口腔、口咽及下咽",75.57,1.85
1985,"女","嘉義縣","口腔、口咽及下咽",56.8,1.84
1985,"女","屏東縣","口腔、口咽及下咽",43,1.17
1985,"女","花蓮縣","口腔、口咽及下咽",65,0.61
1985,"女","台東縣","口腔、口咽及下咽",57.4,4.05
1986,"不分男女","台閩地區","口腔、口咽及下咽",55.28,3.4
1986,"不分男女","台北市","口腔、口咽及下咽",58.03,2.72
1986,"不分男女","台中市","口腔、口咽及下咽",54.45,3.61
1986,"不分男女","台南市","口腔、口咽及下咽",58.2,2.12
1986,"不分男女","高雄市","口腔、口咽及下咽",51.74,4.17
1986,"不分男女","基隆市","口腔、口咽及下咽",57.23,3.72
1986,"不分男女","新竹市","口腔、口咽及下咽",51.3,3.27
1986,"不分男女","嘉義市","口腔、口咽及下咽",52.78,3.54
1986,"不分男女","新北市","口腔、口咽及下咽",54.99,2.79
1986,"不分男女","桃園市","口腔、口咽及下咽",51.79,1.95
1986,"不分男女","新竹縣","口腔、口咽及下咽",43.5,1.09
1986,"不分男女","宜蘭縣","口腔、口咽及下咽",61,3.12
1986,"不分男女","苗栗縣","口腔、口咽及下咽",57,1.64
1986,"不分男女","彰化縣","口腔、口咽及下咽",55.86,6.77
1986,"不分男女","南投縣","口腔、口咽及下咽",54.15,4.86
1986,"不分男女","雲林縣","口腔、口咽及下咽",54.63,5.87
1986,"不分男女","嘉義縣","口腔、口咽及下咽",52.21,3.37
